Sale_ID,Product_ID,Sale_Date,Customer_City,Quantity_Sold,Sales_Amount,Payment_Method
1,36,2026-01-20,Bristol,1,67.31,Card
2,29,2026-06-26,Leicester,8,218.64,Online
3,3,2026-03-01,Birmingham,5,862.75,Cash
4,30,2026-01-19,Leeds,5,256.75,
5,38,2026-06-19,Leeds,7,237.79,Card
6,35,2026-02-27,Bristol,5,190.65,Cash
7,5,2026-01-16,Bristol,5,189.95,Online
8,48,2026-05-26,Birmingham,8,2239.2,Card
9,30,2026-06-26,Birmingham,7,359.45,Online
10,33,2026-05-19,Newcastle,8,688.0,Card
11,39,2026-01-11,Sheffield,6,522.66,Online
12,17,2026-01-07,Manchester,4,331.64,Cash
13,37,2026-05-31,London,5,334.75,Online
14,3,2026-07-15,Bristol,8,1380.4,Online
15,42,2026-04-24,Birmingham,3,103.2,Online
16,28,2026-06-12,Newcastle,2,90.84,Card
17,23,2026-04-15,Liverpool,6,422.34,Cash
18,7,2026-02-11,Liverpool,7,1562.05,Cash
19,32,2026-03-15,Sheffield,1,91.46,
20,6,2026-03-22,Birmingham,6,152.4,Card
21,50,2026-04-14,Nottingham,1,85.69,
22,35,2026-04-29,Sheffield,1,38.13,Cash
23,34,2026-04-03,Leicester,8,293.76,
24,29,2026-07-14,London,4,109.32,Online
25,36,2026-02-03,Birmingham,8,538.48,Cash
26,32,2026-02-01,London,4,365.84,Cash
27,11,2026-03-21,Nottingham,1,173.34,Online
28,27,2026-01-24,Leeds,2,64.54,Card
29,8,2026-06-15,Bristol,8,1914.16,Cash
30,19,2026-05-11,Birmingham,7,1318.87,Card
31,31,2026-03-04,Newcastle,3,91.44,Card
32,13,2026-06-03,Nottingham,3,602.07,Card
33,18,2026-07-17,Sheffield,6,146.88,Online
34,18,2026-01-01,Birmingham,5,122.4,Online
35,38,2026-06-18,Newcastle,3,101.91,Card
36,35,2026-05-04,Liverpool,6,228.78,Online
37,49,2026-05-20,Sheffield,8,950.56,Online
38,13,2026-06-28,Leeds,7,1404.83,Cash
39,50,2026-04-16,London,6,514.14,Cash
40,31,2026-06-30,Sheffield,7,213.36,Cash
41,42,2026-02-08,Newcastle,1,34.4,Cash
42,33,2026-06-01,Liverpool,2,172.0,Card
43,7,2026-05-15,Newcastle,1,223.15,Cash
44,10,2026-04-15,Bristol,2,436.86,Card
45,17,2026-03-28,Leicester,7,580.37,Cash
46,6,2026-03-26,Nottingham,7,177.8,Online
47,41,2026-07-03,Newcastle,1,68.06,Online
48,5,2026-03-02,Birmingham,4,151.96,Cash
49,6,2026-04-22,Manchester,2,50.8,Card
50,11,2026-06-27,Birmingham,1,173.34,Card
