Supplier_ID,Supplier_Name,Supplier_City,Contact_Number,Rating
1,Bright Tech Supplies Ltd,Manchester,07043321819,3.6
2,HomeEssentials Wholesale,London,07133890838,3.5
3,PureCare Distributors,Newcastle,07940265423,4.9
4,OfficePro Supplies Co,Liverpool,07116155940,4.3
5,Northern Gadget Traders,Nottingham,07161849593,4.3
6,Clearview Electronics Ltd,London,07341316475,2.9
7,Comfort Living Wholesale,Liverpool,07341928327,3.4
8,GlowSkin Cosmetics Supply,Nottingham,07350305641,3.0
9,StationeryWorld UK,Leicester,07537672423,4.4
10,TechNest Distributors,Nottingham,07496965328,3.7
11,UrbanHome Goods Ltd,London,07122691669,5.0
12,PrimeCare Products,Nottingham,07480184514,3.6
13,DeskMate Office Supplies,Newcastle,07048281489,3.0
14,SmartBuy Electronics,Liverpool,07288095701,4.8
15,CosyNest Home Supplies,Birmingham,07303911718,4.4
16,VitalCare Wholesale,Bristol,07782489638,4.4
17,PagePlus Stationery Ltd,Leeds,07465787133,2.7
18,CircuitHub Traders,London,07983930103,2.7
19,HearthAndHome Supplies,London,07518347382,4.3
20,RadiancePersonal Care,Leicester,07973763116,3.4
21,Northern Direct Ltd,London,07106513338,3.6
22,Northern Traders Ltd,Birmingham,07731781080,4.9
23,Office Traders Ltd,Sheffield,07773602606,3.2
24,Union Wholesale Ltd,Sheffield,07872343098,2.7
25,Metro Retail Ltd,London,07978820812,2.7
26,Home Supplies Ltd,Sheffield,07193990916,4.1
27,Anchor Distributors Ltd,Birmingham,07353462475,4.8
28,Home Retail Ltd,Newcastle,07991183842,4.8
29,Home Supplies Ltd,Liverpool,07427849808,3.2
30,Home Traders Ltd,Birmingham,07118244935,3.0
31,Prime Direct Ltd,Birmingham,07016400524,2.9
32,Union Imports Ltd,Nottingham,07011280598,2.9
33,Care Retail Ltd,Birmingham,07505331586,4.9
34,Care Supplies Ltd,Bristol,07260256342,4.5
35,Home Imports Ltd,London,07733754330,4.2
36,Northern Distributors Ltd,Birmingham,07145868501,4.7
37,Prime Traders Ltd,Leicester,07401965569,5.0
38,Home Imports Ltd,Leicester,07340608835,3.6
39,Metro Distributors Ltd,Manchester,07484656482,3.0
40,Northern Traders Ltd,Leicester,07946804436,4.5
41,Anchor Distributors Ltd,Newcastle,07773872148,4.2
42,Anchor Distributors Ltd,Manchester,07343320037,4.0
43,Home Direct Ltd,Sheffield,07936763201,4.4
44,Office Traders Ltd,Nottingham,07708317278,5.0
45,Anchor Distributors Ltd,Newcastle,07986872774,4.4
46,Prime Direct Ltd,Leeds,07471434558,2.7
47,Care Supplies Ltd,Sheffield,07231665876,2.7
48,Northern Imports Ltd,Leicester,07096705466,3.8
49,Crest Supplies Ltd,Newcastle,07346706562,4.6
50,Care Retail Ltd,Sheffield,07990162720,3.2
